INFO 2025-04-27 22:38:46,260 autoreload Watching for file changes with StatReloader
DEBUG 2025-04-27 22:38:46,427 autoreload File E:\python3_7_9\Lib\site-packages\numpy\random\_sfc64.cp37-win_amd64.pyd first seen with mtime 1693740664.7549078
DEBUG 2025-04-27 22:38:46,427 autoreload File E:\python3_7_9\Lib\site-packages\django\templatetags\i18n.py first seen with mtime 1732347814.8572142
DEBUG 2025-04-27 22:38:46,427 autoreload File E:\python3_7_9\Lib\site-packages\django\template\backends\__init__.py first seen with mtime 1732347814.8461995
DEBUG 2025-04-27 22:38:46,427 autoreload File E:\python3_7_9\Lib\email\mime\message.py first seen with mtime 1597658262.0
DEBUG 2025-04-27 22:38:46,427 autoreload File E:\python3_7_9\Lib\site-packages\django\template\loader.py first seen with mtime 1732347814.8432076
DEBUG 2025-04-27 22:38:46,427 autoreload File E:\python3_7_9\Lib\site-packages\numpy\core\_multiarray_umath.cp37-win_amd64.pyd first seen with mtime 1693740664.4252532
DEBUG 2025-04-27 22:38:46,427 autoreload File E:\python3_7_9\Lib\site-packages\packaging\__init__.py first seen with mtime 1702223643.9259543
DEBUG 2025-04-27 22:38:46,428 autoreload File E:\python3_7_9\Lib\site-packages\django\utils\cache.py first seen with mtime 1732347814.8868728
DEBUG 2025-04-27 22:38:46,428 autoreload File E:\python3_7_9\Lib\decimal.py first seen with mtime 1597658262.0
DEBUG 2025-04-27 22:38:46,428 autoreload File E:\python3_7_9\Lib\site-packages\django\core\files\images.py first seen with mtime 1732347814.6805081
DEBUG 2025-04-27 22:38:46,428 autoreload File E:\python3_7_9\Lib\site-packages\numpy\polynomial\_polybase.py first seen with mtime 1693740664.718007
DEBUG 2025-04-27 22:38:46,428 autoreload File E:\python3_7_9\Lib\site-packages\django\db\backends\utils.py first seen with mtime 1732347814.7214448
DEBUG 2025-04-27 22:38:46,428 autoreload File E:\python3_7_9\Lib\site-packages\django\db\models\fields\proxy.py first seen with mtime 1732347814.779665
DEBUG 2025-04-27 22:38:46,428 autoreload File E:\python3_7_9\Lib\unittest\main.py first seen with mtime 1597658262.0
DEBUG 2025-04-27 22:38:46,429 autoreload File E:\python3_7_9\Lib\urllib\__init__.py first seen with mtime 1597658262.0
DEBUG 2025-04-27 22:38:46,429 autoreload File E:\python3_7_9\Lib\site-packages\django\contrib\admin\templatetags\base.py first seen with mtime 1732347812.8665295
DEBUG 2025-04-27 22:38:46,429 autoreload File E:\python3_7_9\Lib\asyncio\base_futures.py first seen with mtime 1597658264.0
DEBUG 2025-04-27 22:38:46,430 autoreload File E:\python3_7_9\Lib\email\mime\nonmultipart.py first seen with mtime 1597658262.0
